Discipline,Specialty,Year,OutDiscRef,OutDiscCit
Biology,Entomology,1975,0.36,0.24
Biology,Entomology,1976,0.36,0.24
Biology,Entomology,1977,0.34,0.25
Biology,Entomology,1978,0.31,0.22
Biology,Entomology,1979,0.33,0.25
Biology,Entomology,1980,0.34,0.24
Biology,Entomology,1981,0.33,0.22
Biology,Entomology,1982,0.31,0.22
Biology,Entomology,1983,0.3,0.19
Biology,Entomology,1984,0.3,0.21
Biology,Entomology,1985,0.31,0.22
Biology,Entomology,1986,0.34,0.23
Biology,Entomology,1987,0.32,0.25
Biology,Entomology,1988,0.31,0.22
Biology,Entomology,1989,0.29,0.24
Biology,Entomology,1990,0.29,0.24
Biology,Entomology,1991,0.29,0.24
Biology,Entomology,1992,0.3,0.25
Biology,Entomology,1993,0.32,0.26
Biology,Entomology,1994,0.31,0.25
Biology,Entomology,1995,0.32,0.27
Biology,Entomology,1996,0.31,0.27
Biology,Entomology,1997,0.31,0.27
Biology,Entomology,1998,0.31,0.28
Biology,Entomology,1999,0.3,0.28
Biology,Entomology,2000,0.31,0.29
Biology,Entomology,2001,0.33,0.3
Biology,Entomology,2002,0.33,0.3
Biology,Entomology,2003,0.32,0.31
Biology,Entomology,2004,0.31,0.3
Biology,Entomology,2005,0.32,0.31
Biology,Entomology,2006,0.32,0.31
Biology,Entomology,2007,0.32,0.3
Biology,Entomology,2008,0.33,0.32
Biology,Entomology,2009,0.33,0.31
Biology,Entomology,2010,0.34,0.33
Biology,Entomology,2011,0.34,0.33
Biology,Entomology,2012,0.33,0.33
Biology,Entomology,2013,0.34,0.35
Biology,Entomology,2014,0.34,0.35
Biology,General Biology,1950,0.6,0.44
Biology,General Biology,1951,0.65,0.7
Biology,General Biology,1952,0.63,0.48
Biology,General Biology,1953,0.67,0.54
Biology,General Biology,1954,0.7,0.56
Biology,General Biology,1955,0.51,0.57
Biology,General Biology,1956,0.56,0.51
Biology,General Biology,1957,0.57,0.43
Biology,General Biology,1958,0.56,0.47
Biology,General Biology,1959,0.56,0.44
Biology,General Biology,1960,0.49,0.46
Biology,General Biology,1961,0.59,0.39
Biology,General Biology,1962,0.68,0.37
Biology,General Biology,1963,0.64,0.37
Biology,General Biology,1964,0.6,0.38
Biology,General Biology,1965,0.57,0.38
Biology,General Biology,1966,0.72,0.61
Biology,General Biology,1967,0.56,0.37
Biology,General Biology,1968,0.59,0.43
Biology,General Biology,1969,0.58,0.43
Biology,General Biology,1970,0.54,0.38
Biology,General Biology,1971,0.52,0.41
Biology,General Biology,1972,0.55,0.43
Biology,General Biology,1973,0.5,0.43
Biology,General Biology,1974,0.61,0.51
Biology,General Biology,1975,0.58,0.48
Biology,General Biology,1976,0.68,0.52
Biology,General Biology,1977,0.63,0.45
Biology,General Biology,1978,0.65,0.45
Biology,General Biology,1979,0.73,0.51
Biology,General Biology,1980,0.71,0.48
Biology,General Biology,1981,0.68,0.49
Biology,General Biology,1982,0.73,0.5
Biology,General Biology,1983,0.68,0.45
Biology,General Biology,1984,0.67,0.44
Biology,General Biology,1985,0.65,0.48
Biology,General Biology,1986,0.64,0.48
Biology,General Biology,1987,0.68,0.62
Biology,General Biology,1988,0.7,0.7
Biology,General Biology,1989,0.76,0.71
Biology,General Biology,1990,0.76,0.75
Biology,General Biology,1991,0.74,0.72
Biology,General Biology,1992,0.76,0.74
Biology,General Biology,1993,0.73,0.69
Biology,General Biology,1994,0.75,0.66
Biology,General Biology,1995,0.77,0.77
Biology,General Biology,1996,0.71,0.7
Biology,General Biology,1997,0.69,0.67
Biology,General Biology,1998,0.69,0.68
Biology,General Biology,1999,0.72,0.72
Biology,General Biology,2000,0.7,0.71
Biology,General Biology,2001,0.72,0.72
Biology,General Biology,2002,0.74,0.66
Biology,General Biology,2003,0.75,0.67
Biology,General Biology,2004,0.75,0.72
Biology,General Biology,2005,0.76,0.73
Biology,General Biology,2006,0.73,0.77
Biology,General Biology,2007,0.74,0.76
Biology,General Biology,2008,0.71,0.73
Biology,General Biology,2009,0.72,0.76
Biology,General Biology,2010,0.71,0.75
Biology,General Biology,2011,0.7,0.76
Biology,General Biology,2012,0.71,0.72
Biology,General Biology,2013,0.72,0.75
Biology,General Biology,2014,0.71,0.74
Biology,General Zoology,1950,0.65,0.71
Biology,General Zoology,1951,0.59,0.63
Biology,General Zoology,1952,0.56,0.58
Biology,General Zoology,1953,0.57,0.56
Biology,General Zoology,1954,0.59,0.54
Biology,General Zoology,1955,0.64,0.74
Biology,General Zoology,1956,0.65,0.65
Biology,General Zoology,1957,0.59,0.71
Biology,General Zoology,1958,0.57,0.67
Biology,General Zoology,1959,0.65,0.72
Biology,General Zoology,1960,0.67,0.69
Biology,General Zoology,1961,0.64,0.46
Biology,General Zoology,1962,0.67,0.52
Biology,General Zoology,1963,0.69,0.59
Biology,General Zoology,1964,0.65,0.51
Biology,General Zoology,1965,0.69,0.52
Biology,General Zoology,1966,0.65,0.45
Biology,General Zoology,1967,0.68,0.47
Biology,General Zoology,1968,0.63,0.46
Biology,General Zoology,1969,0.6,0.45
Biology,General Zoology,1970,0.63,0.46
Biology,General Zoology,1971,0.61,0.51
Biology,General Zoology,1972,0.61,0.44
Biology,General Zoology,1973,0.64,0.48
Biology,General Zoology,1974,0.59,0.46
Biology,General Zoology,1975,0.62,0.47
Biology,General Zoology,1976,0.61,0.41
Biology,General Zoology,1977,0.59,0.41
Biology,General Zoology,1978,0.61,0.42
Biology,General Zoology,1979,0.52,0.36
Biology,General Zoology,1980,0.54,0.37
Biology,General Zoology,1981,0.55,0.36
Biology,General Zoology,1982,0.54,0.38
Biology,General Zoology,1983,0.54,0.39
Biology,General Zoology,1984,0.55,0.4
Biology,General Zoology,1985,0.54,0.38
Biology,General Zoology,1986,0.51,0.38
Biology,General Zoology,1987,0.5,0.37
Biology,General Zoology,1988,0.52,0.37
Biology,General Zoology,1989,0.51,0.4
Biology,General Zoology,1990,0.53,0.38
Biology,General Zoology,1991,0.5,0.37
Biology,General Zoology,1992,0.5,0.37
Biology,General Zoology,1993,0.51,0.4
Biology,General Zoology,1994,0.5,0.36
Biology,General Zoology,1995,0.5,0.36
Biology,General Zoology,1996,0.47,0.36
Biology,General Zoology,1997,0.49,0.38
Biology,General Zoology,1998,0.5,0.38
Biology,General Zoology,1999,0.5,0.38
Biology,General Zoology,2000,0.5,0.38
Biology,General Zoology,2001,0.52,0.39
Biology,General Zoology,2002,0.48,0.41
Biology,General Zoology,2003,0.51,0.41
Biology,General Zoology,2004,0.49,0.38
Biology,General Zoology,2005,0.48,0.38
Biology,General Zoology,2006,0.46,0.37
Biology,General Zoology,2007,0.46,0.39
Biology,General Zoology,2008,0.45,0.38
Biology,General Zoology,2009,0.49,0.38
Biology,General Zoology,2010,0.47,0.37
Biology,General Zoology,2011,0.47,0.35
Biology,General Zoology,2012,0.45,0.34
Biology,General Zoology,2013,0.47,0.34
Biology,General Zoology,2014,0.48,0.29
Biology,Marine Biology & Hydrobiology,1950,0.6,0.44
Biology,Marine Biology & Hydrobiology,1951,0.53,0.39
Biology,Marine Biology & Hydrobiology,1952,0.56,0.47
Biology,Marine Biology & Hydrobiology,1953,0.55,0.5
Biology,Marine Biology & Hydrobiology,1954,0.55,0.45
Biology,Marine Biology & Hydrobiology,1955,0.53,0.35
Biology,Marine Biology & Hydrobiology,1956,0.57,0.38
Biology,Marine Biology & Hydrobiology,1957,0.56,0.38
Biology,Marine Biology & Hydrobiology,1958,0.51,0.33
Biology,Marine Biology & Hydrobiology,1959,0.57,0.36
Biology,Marine Biology & Hydrobiology,1960,0.52,0.33
Biology,Marine Biology & Hydrobiology,1961,0.54,0.36
Biology,Marine Biology & Hydrobiology,1962,0.48,0.29
Biology,Marine Biology & Hydrobiology,1963,0.48,0.32
Biology,Marine Biology & Hydrobiology,1964,0.55,0.31
Biology,Marine Biology & Hydrobiology,1965,0.53,0.3
Biology,Marine Biology & Hydrobiology,1966,0.55,0.29
Biology,Marine Biology & Hydrobiology,1967,0.53,0.3
Biology,Marine Biology & Hydrobiology,1968,0.5,0.28
Biology,Marine Biology & Hydrobiology,1969,0.49,0.28
Biology,Marine Biology & Hydrobiology,1970,0.48,0.3
Biology,Marine Biology & Hydrobiology,1971,0.48,0.29
Biology,Marine Biology & Hydrobiology,1972,0.47,0.31
Biology,Marine Biology & Hydrobiology,1973,0.43,0.31
Biology,Marine Biology & Hydrobiology,1974,0.44,0.29
Biology,Marine Biology & Hydrobiology,1975,0.42,0.29
Biology,Marine Biology & Hydrobiology,1976,0.41,0.29
Biology,Marine Biology & Hydrobiology,1977,0.4,0.28
Biology,Marine Biology & Hydrobiology,1978,0.4,0.29
Biology,Marine Biology & Hydrobiology,1979,0.39,0.28
Biology,Marine Biology & Hydrobiology,1980,0.39,0.28
Biology,Marine Biology & Hydrobiology,1981,0.39,0.28
Biology,Marine Biology & Hydrobiology,1982,0.39,0.28
Biology,Marine Biology & Hydrobiology,1983,0.4,0.3
Biology,Marine Biology & Hydrobiology,1984,0.38,0.28
Biology,Marine Biology & Hydrobiology,1985,0.36,0.29
Biology,Marine Biology & Hydrobiology,1986,0.37,0.29
Biology,Marine Biology & Hydrobiology,1987,0.36,0.29
Biology,Marine Biology & Hydrobiology,1988,0.36,0.3
Biology,Marine Biology & Hydrobiology,1989,0.37,0.31
Biology,Marine Biology & Hydrobiology,1990,0.35,0.29
Biology,Marine Biology & Hydrobiology,1991,0.35,0.3
Biology,Marine Biology & Hydrobiology,1992,0.36,0.31
Biology,Marine Biology & Hydrobiology,1993,0.36,0.33
Biology,Marine Biology & Hydrobiology,1994,0.35,0.31
Biology,Marine Biology & Hydrobiology,1995,0.36,0.33
Biology,Marine Biology & Hydrobiology,1996,0.35,0.33
Biology,Marine Biology & Hydrobiology,1997,0.35,0.32
Biology,Marine Biology & Hydrobiology,1998,0.34,0.32
Biology,Marine Biology & Hydrobiology,1999,0.36,0.34
Biology,Marine Biology & Hydrobiology,2000,0.35,0.35
Biology,Marine Biology & Hydrobiology,2001,0.35,0.35
Biology,Marine Biology & Hydrobiology,2002,0.35,0.36
Biology,Marine Biology & Hydrobiology,2003,0.34,0.35
Biology,Marine Biology & Hydrobiology,2004,0.35,0.36
Biology,Marine Biology & Hydrobiology,2005,0.35,0.36
Biology,Marine Biology & Hydrobiology,2006,0.35,0.37
Biology,Marine Biology & Hydrobiology,2007,0.35,0.36
Biology,Marine Biology & Hydrobiology,2008,0.36,0.38
Biology,Marine Biology & Hydrobiology,2009,0.36,0.39
Biology,Marine Biology & Hydrobiology,2010,0.37,0.4
Biology,Marine Biology & Hydrobiology,2011,0.38,0.41
Biology,Marine Biology & Hydrobiology,2012,0.38,0.41
Biology,Marine Biology & Hydrobiology,2013,0.39,0.41
Biology,Marine Biology & Hydrobiology,2014,0.41,0.37
Biology,Miscellaneous Biology,1956,0.84,0.77
Biology,Miscellaneous Biology,1957,0.87,0.75
Biology,Miscellaneous Biology,1958,0.88,0.81
